score_mode,specification,term,coef,se,p,ci_low,ci_high,n,status,error
sum_logprob,cluster_by_item,Intercept,0.7458521981603099,0.1849589132923114,5.5179782141424436e-05,0.3833393894877129,1.108365006832907,7744,success,
sum_logprob,cluster_by_item,lexical_advantage,0.11412558588205308,0.01830224166812883,4.5002967695988126e-10,0.0782538513761723,0.14999732038793387,7744,success,
sum_logprob,cluster_by_item,is_instruct,-0.7351917160972408,0.1339316753168362,4.035200086638606e-08,-0.9976929761073519,-0.4726904560871297,7744,success,
sum_logprob,cluster_by_item,log_params_b,-0.3173158089727043,0.06275301449777183,4.268357658029102e-07,-0.4403094573096569,-0.19432216063575164,7744,success,
sum_logprob,cluster_by_model,Intercept,0.7458521981603099,0.5017767718308691,0.1371674470930127,-0.23761220290696583,1.7293165992275856,7744,success,
sum_logprob,cluster_by_model,lexical_advantage,0.11412558588205308,0.024668469960709687,3.721217774310658e-06,0.0657762732053539,0.16247489855875227,7744,success,
sum_logprob,cluster_by_model,is_instruct,-0.7351917160972408,0.29918131095129363,0.013996817382624739,-1.321576310409255,-0.14880712178522637,7744,success,
sum_logprob,cluster_by_model,log_params_b,-0.3173158089727043,0.24041500779053845,0.186879463411049,-0.7885205655850762,0.1538889476396676,7744,success,
sum_logprob,two_way_cluster_item_model,Intercept,0.7458521981603099,0.5091281932474027,0.1429319598234188,-0.25202072411854803,1.743725120439168,7744,success,
sum_logprob,two_way_cluster_item_model,lexical_advantage,0.11412558588205308,0.028081264768039522,4.821434067340708e-05,0.05908731829636211,0.16916385346774407,7744,success,
sum_logprob,two_way_cluster_item_model,is_instruct,-0.7351917160972408,0.3075236116960107,0.01681702937005856,-1.3379269194171024,-0.13245651277737924,7744,success,
sum_logprob,two_way_cluster_item_model,log_params_b,-0.3173158089727043,0.23677928339282045,0.18020200263264008,-0.7813946767078352,0.14676305876242673,7744,success,
sum_logprob,mixed_effects_item_model_random_intercepts,Intercept,0.745852198160345,0.7218907958556137,0.3015137947547041,-0.6690277624876144,2.1607321588083046,7744,success,
sum_logprob,mixed_effects_item_model_random_intercepts,lexical_advantage,0.11412558588205615,0.05086036882806941,0.024838830756895813,0.014441094738616475,0.21381007702549581,7744,success,
sum_logprob,mixed_effects_item_model_random_intercepts,is_instruct,-0.7351917160972417,0.5207904420531151,0.15804292375937012,-1.7559222260140412,0.28553879381955793,7744,success,
sum_logprob,mixed_effects_item_model_random_intercepts,log_params_b,-0.3173158089727168,0.34609716091119885,0.3592263553973549,-0.9956537795102303,0.3610221615647968,7744,success,
mean_logprob,cluster_by_item,Intercept,0.6957642026898092,0.18546841551698762,0.00017585749729274056,0.33225278800680375,1.0592756173728146,7744,success,
mean_logprob,cluster_by_item,lexical_advantage,0.11237575051897858,0.01834117756710559,8.957124201573578e-10,0.07642770305339766,0.1483237979845595,7744,success,
mean_logprob,cluster_by_item,is_instruct,-0.7362853917384738,0.1296706478333287,1.3618382603699738e-08,-0.9904351913437749,-0.4821355921331728,7744,success,
mean_logprob,cluster_by_item,log_params_b,-0.29256088025001736,0.0606161121256236,1.389854379018484e-06,-0.4113662768990813,-0.17375548360095344,7744,success,
mean_logprob,cluster_by_model,Intercept,0.6957642026898092,0.5124346379300129,0.17453926353096672,-0.3085892320838388,1.7001176374634572,7744,success,
mean_logprob,cluster_by_model,lexical_advantage,0.11237575051897858,0.02580410020770169,1.3309295458607134e-05,0.06180064345842074,0.16295085757953642,7744,success,
mean_logprob,cluster_by_model,is_instruct,-0.7362853917384738,0.29788089215427294,0.013445565533950711,-1.3201212120435089,-0.15244957143343896,7744,success,
mean_logprob,cluster_by_model,log_params_b,-0.29256088025001736,0.24128322021501244,0.22531315354100456,-0.7654673019452884,0.18034554144525372,7744,success,
mean_logprob,two_way_cluster_item_model,Intercept,0.6957642026898092,0.5204424951220641,0.18126492168234754,-0.32428434377359916,1.7158127491532176,7744,success,
mean_logprob,two_way_cluster_item_model,lexical_advantage,0.11237575051897858,0.02917167724953291,0.00011705126165040902,0.05520031374126761,0.16955118729668955,7744,success,
mean_logprob,two_way_cluster_item_model,is_instruct,-0.7362853917384738,0.3061417954371213,0.016170388113139707,-1.33631228495766,-0.1362584985192875,7744,success,
mean_logprob,two_way_cluster_item_model,log_params_b,-0.29256088025001736,0.23738217120679672,0.21778225468887025,-0.7578213863872599,0.1726996258872252,7744,success,
mean_logprob,mixed_effects_item_model_random_intercepts,Intercept,0.6957642026898501,0.7097606180426526,0.32694787978124784,-0.6953410463186387,2.086869451698339,7744,success,
mean_logprob,mixed_effects_item_model_random_intercepts,lexical_advantage,0.11237575051898088,0.05073289878069278,0.02675684508121021,0.012941096077507014,0.21181040496045475,7744,success,
mean_logprob,mixed_effects_item_model_random_intercepts,is_instruct,-0.7362853917384772,0.5113636510190916,0.14991070557815744,-1.7385397307388057,0.2659689472618513,7744,success,
mean_logprob,mixed_effects_item_model_random_intercepts,log_params_b,-0.29256088025002963,0.34037198453961154,0.3900466394841974,-0.9596777112940924,0.3745559507940331,7744,success,
