model_key,family,params_b,tuning,n_layers,n_heads,n_patching_items,best_source_label,best_source_layer,best_source_component,best_source_recovery,best_pair_label,best_pair_group,best_pair_recovery,source_minus_pair,split_mean_source_minus_pair,split_positive_fraction,random_mean,random_max
qwen25_15b_base,Qwen,1.5,base,28,12,32,hook_resid_pre_L3_source_all,3,hook_resid_pre,0.9949131364139101,hook_resid_pre_L3_definition_subject__query_word,definition_subject__query_word,0.8866229159913975,0.10829022042251257,0.11390513609983569,0.975,-4.16085500123693,-3.3509132287786194
qwen25_15b_instruct,Qwen,1.5,instruct,28,12,32,hook_resid_pre_L15_source_all,15,hook_resid_pre,0.9177232024697646,hook_resid_pre_L15_definition_subject__query_word,definition_subject__query_word,0.5857844962232492,0.33193870624651534,0.30751897557368446,0.95,-0.6557163459337638,-0.39653540558029976
gemma2_2b_base,Gemma,2.0,base,26,8,32,hook_resid_mid_L12_source_all,12,hook_resid_mid,1.0452273521196438,hook_resid_mid_L12_definition_subject__query_word,definition_subject__query_word,0.692779375805809,0.35244797631383484,0.3863156402137347,0.975,-0.5760644138093154,-0.3011788576549411
gemma2_2b_instruct,Gemma,2.0,instruct,26,8,14,hook_resid_pre_L3_source_all,3,hook_resid_pre,1.044810541782913,hook_resid_pre_L3_definition_subject__query_word,definition_subject__query_word,0.6826002053208055,0.36221033646210754,0.19112144188806782,0.825,-2.26646441109992,-1.3309547230462575
olmo_1b_base,OLMo,1.0,base,16,16,32,hook_resid_pre_L2_source_all,2,hook_resid_pre,1.0593011043678375,hook_resid_pre_L2_definition_subject__query_word,definition_subject__query_word,0.8735021947598753,0.1857989096079622,0.18339636304517484,1.0,-1.1621105456807825,-0.8712653637658246
