model_key,patch_label,group,component,layer,norm_depth,recovery,ci_low,ci_high
qwen25_15b_base,hook_resid_post_L25_definition_subject,definition_subject,hook_resid_post,25,0.8928571428571429,0.24304876259769537,0.16078511775287685,0.3353142741012978
qwen25_15b_base,hook_resid_post_L26_definition_subject,definition_subject,hook_resid_post,26,0.9285714285714286,0.04485367407406852,0.000123664574453583,0.09431441450866254
qwen25_15b_base,hook_resid_post_L27_definition_subject,definition_subject,hook_resid_post,27,0.9642857142857143,0.0,0.0,0.0
qwen25_15b_base,hook_resid_pre_L0_definition_target,definition_target,hook_resid_pre,0,0.0,0.0,0.0,0.0
qwen25_15b_base,hook_resid_pre_L1_definition_target,definition_target,hook_resid_pre,1,0.03571428571428571,0.027291077115425565,0.009647093009769018,0.051196693066815235
qwen25_15b_base,hook_resid_pre_L2_definition_target,definition_target,hook_resid_pre,2,0.07142857142857142,0.016157394785834788,-0.004403172093165497,0.043468362863708414
qwen25_15b_base,hook_resid_pre_L3_definition_target,definition_target,hook_resid_pre,3,0.10714285714285714,0.0251472812935507,-0.03211902473355168,0.07784192192919746
qwen25_15b_base,hook_resid_pre_L4_definition_target,definition_target,hook_resid_pre,4,0.14285714285714285,0.004968627889837826,-0.058484701537083066,0.0592676437078788
qwen25_15b_base,hook_resid_pre_L5_definition_target,definition_target,hook_resid_pre,5,0.17857142857142858,0.054948338692112304,-0.0009444748511052175,0.10813824090626711
qwen25_15b_base,hook_resid_pre_L6_definition_target,definition_target,hook_resid_pre,6,0.21428571428571427,-0.21478420646691446,-0.412906411006438,-0.07024230943525597
qwen25_15b_base,hook_resid_pre_L7_definition_target,definition_target,hook_resid_pre,7,0.25,-0.169181859802991,-0.35428422136333104,-0.027702966406621062
qwen25_15b_base,hook_resid_pre_L8_definition_target,definition_target,hook_resid_pre,8,0.2857142857142857,-0.2750052637310902,-0.495689616834682,-0.10375308521679835
qwen25_15b_base,hook_resid_pre_L9_definition_target,definition_target,hook_resid_pre,9,0.32142857142857145,-0.33256913019286727,-0.5736360933579971,-0.14715313857186876
qwen25_15b_base,hook_resid_pre_L10_definition_target,definition_target,hook_resid_pre,10,0.35714285714285715,-0.545607224120887,-0.8602592782353223,-0.29388282031438306
qwen25_15b_base,hook_resid_pre_L11_definition_target,definition_target,hook_resid_pre,11,0.39285714285714285,-0.6000645597939899,-0.9277227898192979,-0.34307164489542424
qwen25_15b_base,hook_resid_pre_L12_definition_target,definition_target,hook_resid_pre,12,0.42857142857142855,-0.8019120961512533,-1.2089154326441895,-0.4939611718522549
qwen25_15b_base,hook_resid_pre_L13_definition_target,definition_target,hook_resid_pre,13,0.4642857142857143,-1.4407865298418336,-2.1145647953900566,-0.9489056005809144
qwen25_15b_base,hook_resid_pre_L14_definition_target,definition_target,hook_resid_pre,14,0.5,-1.9321704338995946,-2.8004016495060102,-1.324969349656067
qwen25_15b_base,hook_resid_pre_L15_definition_target,definition_target,hook_resid_pre,15,0.5357142857142857,-1.8879930209389229,-2.742870770739886,-1.3003518160116332
qwen25_15b_base,hook_resid_pre_L16_definition_target,definition_target,hook_resid_pre,16,0.5714285714285714,-1.6680856087153266,-2.3646132035353165,-1.1632706469253844
qwen25_15b_base,hook_resid_pre_L17_definition_target,definition_target,hook_resid_pre,17,0.6071428571428571,-0.7826704431599413,-1.1348361050095963,-0.5218721667816626
qwen25_15b_base,hook_resid_pre_L18_definition_target,definition_target,hook_resid_pre,18,0.6428571428571429,-0.7114377934766708,-1.0266851162901167,-0.47183824258344775
