model_key,family,params_b,tuning,tier,conflict_type,score_mode,n,mean,ci_low,ci_high,positive_fraction,t,p
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,antonym_remapping,sum_logprob,320.0,1.4645114030851498,1.2985869846716347,1.6342210520757348,0.859375,17.048117538371212,8.804025636598639e-47
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,antonym_remapping,mean_logprob,320.0,1.3594103585039796,1.2078890375998719,1.512140936712938,0.853125,17.334621568951537,6.770570916078099e-48
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,arbitrary_semantic_remapping,sum_logprob,144.0,4.026529975658006,3.7136456566914497,4.342693912296521,0.9930555555555556,24.599996330292953,3.0535039478247587e-53
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,arbitrary_semantic_remapping,mean_logprob,144.0,4.026529975658006,3.7136456566914497,4.342693912296521,0.9930555555555556,24.599996330292953,3.0535039478247587e-53
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,polysemy_entity_remapping,sum_logprob,120.0,2.6894531084845466,2.324365730801235,3.0610601066050327,0.9416666666666667,14.40692524576681,7.480248961043844e-28
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,polysemy_entity_remapping,mean_logprob,120.0,2.6894531084845466,2.324365730801235,3.0610601066050327,0.9416666666666667,14.40692524576681,7.480248961043844e-28
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,domain_definition_remapping,sum_logprob,120.0,2.1538411971595557,1.8341966067518418,2.4833002729175817,0.9583333333333334,13.333160505897832,2.280032526878144e-25
qwen25_15b_base,Qwen,1.5,base,anchor_1b2b,domain_definition_remapping,mean_logprob,120.0,2.1538411971595557,1.8341966067518418,2.4833002729175817,0.9583333333333334,13.333160505897832,2.280032526878144e-25
qwen25_15b_instruct,Qwen,1.5,instruct,anchor_1b2b,antonym_remapping,sum_logprob,320.0,1.6877920978543977,1.2719015075266926,2.0851408997867567,0.740625,8.021183626815601,2.013000636435056e-14
qwen25_15b_instruct,Qwen,1.5,instruct,anchor_1b2b,antonym_remapping,mean_logprob,320.0,1.471422064816701,1.092712943250794,1.841874180498806,0.73125,7.42793392851517,1.016739000608393e-12
qwen25_15b_instruct,Qwen,1.5,instruct,anchor_1b2b,arbitrary_semantic_remapping,sum_logprob,144.0,4.720984340541893,4.1407094794566985,5.309033336945706,0.9375,15.954211803663403,1.4780885619049599e-33
