conflict_type,score_mode,n,mean,ci_low,ci_high,positive_fraction,t,p
antonym_remapping,sum_logprob,3520.0,1.1568481018448036,1.0564422784561205,1.2609286592135627,0.703125,21.40417946954402,1.1939720629664361e-95
antonym_remapping,mean_logprob,3520.0,0.9408238835887862,0.8428966191885218,1.0369578509764934,0.6883522727272727,18.62245914175171,6.742809332086667e-74
arbitrary_semantic_remapping,sum_logprob,1584.0,3.967122977537348,3.7862472956693347,4.145779301477539,0.9191919191919192,42.55917369423132,1.7390383729918724e-264
arbitrary_semantic_remapping,mean_logprob,1584.0,3.935167071547353,3.7567318931161986,4.1127963989551874,0.9223484848484849,42.73095226233633,5.740635128058353e-266
polysemy_entity_remapping,sum_logprob,1320.0,2.664844128010869,2.493589235345257,2.8446468099888564,0.8560606060606061,29.900889996142187,2.0705331763749755e-150
polysemy_entity_remapping,mean_logprob,1320.0,2.6113208008286715,2.441587367711061,2.789603602501079,0.8568181818181818,29.574088370386693,7.007079619218947e-148
domain_definition_remapping,sum_logprob,1320.0,2.544211428378378,2.3655408434984677,2.7251858745289788,0.8416666666666667,27.742867200461248,8.0482723983034135e-134
domain_definition_remapping,mean_logprob,1320.0,2.491548252923752,2.314712174872739,2.670612547253005,0.8416666666666667,27.55860125966336,2.0338462628578288e-132
