model_key,rand_dtgt,rand_ddis,n_obs,rand_dmargin,matched_dtgt,matched_ddis,matched_dmargin,swap_dtgt,swap_ddis,swap_dmargin
qwen25_15b_base,-12.677036355733872,-5.405849966406822,1600,-7.27118638932705,-1.39,-3.13,1.74,-12.79,-5.34,-7.45
qwen25_15b_instruct,-16.2575583922863,-13.344022987186909,1600,-2.91353540509939,-6.97,-11.05,4.08,-16.48,-13.7,-2.77
gemma2_2b_base,-7.954578862786293,-5.809594112038613,1600,-2.14498475074768,0.17,-3.72,3.89,-8.04,-6.02,-2.03
gemma2_2b_instruct,-15.694865044866289,-7.397077846186502,700,-8.297787198679787,-1.78,-5.6,3.83,-16.92,-8.03,-8.89
olmo_1b_base,-7.562508226633072,-5.333446710705757,1600,-2.229061515927315,-1.38,-3.41,2.03,-7.68,-5.5,-2.19
