conflict_type,score_mode,n,mean,ci_low,ci_high,positive_fraction,t,p
antonym_remapping,sum_logprob,3520.0,1.1568481018448036,1.0564422784561205,1.260928659213563,0.703125,21.40417946954402,1.1939720629664361e-95
arbitrary_semantic_remapping,sum_logprob,1584.0,3.967122977537348,3.786247295669335,4.145779301477539,0.9191919191919192,42.55917369423132,1.7390383729918724e-264
polysemy_entity_remapping,sum_logprob,1320.0,2.664844128010869,2.493589235345257,2.8446468099888564,0.8560606060606061,29.900889996142187,2.0705331763749758e-150
domain_definition_remapping,sum_logprob,1320.0,2.544211428378378,2.365540843498468,2.7251858745289788,0.8416666666666667,27.742867200461248,8.048272398303413e-134
