model_key,scan_type,component_type,layer,head,name,recovery,target_delta,distractor_delta,is_nondegenerate_component
qwen25_15b_base,writer_source_positions,attn_head,2,0,L2H0,0.0012184262683869469,0.0007957816123962402,-0.0013334304094314575,True
qwen25_15b_base,writer_source_positions,attn_head,2,1,L2H1,-0.0009745534202109606,9.846687316894531e-05,0.0018015354871749878,True
qwen25_15b_base,writer_source_positions,attn_head,2,2,L2H2,0.00017920390829603245,-0.00026619434356689453,-0.000579342246055603,True
qwen25_15b_base,writer_source_positions,attn_head,2,3,L2H3,0.0105397240389423,0.026970326900482178,0.008551925420761108,True
qwen25_15b_base,writer_source_positions,attn_head,2,4,L2H4,-0.0013666770844144888,-0.002116858959197998,0.00027145445346832275,True
qwen25_15b_base,writer_source_positions,attn_head,2,5,L2H5,0.03153978553582975,0.026856184005737305,-0.028260275721549988,True
qwen25_15b_base,writer_source_positions,attn_head,2,6,L2H6,0.002375884324729897,0.0012192726135253906,-0.002932623028755188,True
qwen25_15b_base,writer_source_positions,attn_head,2,7,L2H7,-0.004743616815793492,-0.0011751055717468262,0.007114484906196594,True
qwen25_15b_base,writer_source_positions,attn_head,2,8,L2H8,-0.000710045177189314,0.005718529224395752,0.00695936381816864,True
qwen25_15b_base,writer_source_positions,attn_head,2,9,L2H9,-0.0037607410214629596,-0.001122593879699707,0.005449399352073669,True
qwen25_15b_base,writer_source_positions,attn_head,2,10,L2H10,0.019855888541854227,0.00991910696029663,-0.024779483675956726,True
qwen25_15b_base,writer_source_positions,attn_head,2,11,L2H11,-0.001797308782966365,-0.0003960132598876953,0.00274483859539032,True
qwen25_15b_base,writer_source_positions,mlp,2,-1,L2MLP,-0.09780996383962554,-0.057384192943573,0.1135409027338028,True
qwen25_15b_base,writer_source_positions,attn_head,3,0,L3H0,0.0037001309443708296,0.0005218982696533203,-0.0059441328048706055,True
qwen25_15b_base,writer_source_positions,attn_head,3,1,L3H1,-0.0029808254205689593,0.0031003952026367188,0.008309468626976013,True
qwen25_15b_base,writer_source_positions,attn_head,3,2,L3H2,-0.0009229137709608286,-0.0016274452209472656,-1.461803913116455e-05,True
qwen25_15b_base,writer_source_positions,attn_head,3,3,L3H3,0.013595587258950022,0.005966603755950928,-0.0177919864654541,True
qwen25_15b_base,writer_source_positions,attn_head,3,4,L3H4,-0.008444003570844226,0.009913027286529541,0.02466912567615509,True
qwen25_15b_base,writer_source_positions,attn_head,3,5,L3H5,0.002279460752451084,0.005072832107543945,0.001089438796043396,True
qwen25_15b_base,writer_source_positions,attn_head,3,6,L3H6,0.008216724308771404,0.007647812366485596,-0.0067110806703567505,True
qwen25_15b_base,writer_source_positions,attn_head,3,7,L3H7,-0.008214115039836375,-0.00259321928024292,0.011761143803596497,True
