area,passed,evidence
source_triplet_advantage,True,5/5 models positive
split_validation_base_stability,True,"[{'model_key': 'qwen25_15b_base', 'split_mean_source_minus_pair': 0.11390513609983569, 'split_positive_fraction': 0.975}, {'model_key': 'qwen25_15b_instruct', 'split_mean_source_minus_pair': 0.30751897557368446, 'split_positive_fraction': 0.95}, {'model_key': 'gemma2_2b_base', 'split_mean_source_minus_pair': 0.3863156402137347, 'split_positive_fraction': 0.975}, {'model_key': 'gemma2_2b_instruct', 'split_mean_source_minus_pair': 0.19112144188806782, 'split_positive_fraction': 0.825}, {'model_key': 'olmo_1b_base', 'split_mean_source_minus_pair': 0.18339636304517484, 'split_positive_fraction': 1.0}]"
random_controls,True,"[{'model_key': 'qwen25_15b_base', 'best_source_recovery': 0.9949131364139101, 'random_mean': -4.16085500123693, 'random_max': -3.3509132287786194}, {'model_key': 'qwen25_15b_instruct', 'best_source_recovery': 0.9177232024697646, 'random_mean': -0.6557163459337638, 'random_max': -0.39653540558029976}, {'model_key': 'gemma2_2b_base', 'best_source_recovery': 1.0452273521196438, 'random_mean': -0.5760644138093154, 'random_max': -0.3011788576549411}, {'model_key': 'gemma2_2b_instruct', 'best_source_recovery': 1.044810541782913, 'random_mean': -2.26646441109992, 'random_max': -1.3309547230462575}, {'model_key': 'olmo_1b_base', 'best_source_recovery': 1.0593011043678375, 'random_mean': -1.1621105456807825, 'random_max': -0.8712653637658246}]"
component_scan_available,True,Non-degenerate component scan table generated.
component_mediation_available,True,Reader zero-ablation mediation drops generated.
distractor_suppression,True,"[{'model_key': 'qwen25_15b_base', 'best_source_label': 'hook_resid_pre_L3_source_all', 'target_logit_delta': -1.390986680984497, 'distractor_logit_delta': -3.129619598388672, 'logit_diff_delta': 1.7386326789855957}, {'model_key': 'qwen25_15b_instruct', 'best_source_label': 'hook_resid_pre_L15_source_all', 'target_logit_delta': -6.971324920654297, 'distractor_logit_delta': -11.049032211303711, 'logit_diff_delta': 4.077706813812256}, {'model_key': 'gemma2_2b_base', 'best_source_label': 'hook_resid_mid_L12_source_all', 'target_logit_delta': 0.1671079397201538, 'distractor_logit_delta': -3.7248120307922363, 'logit_diff_delta': 3.8919200897216797}, {'model_key': 'gemma2_2b_instruct', 'best_source_label': 'hook_resid_pre_L3_source_all', 'target_logit_delta': -1.778651475906372, 'distractor_logit_delta': -5.603823184967041, 'logit_diff_delta': 3.825171947479248}, {'model_key': 'olmo_1b_base', 'best_source_label': 'hook_resid_pre_L2_source_all', 'target_logit_delta': -1.380002498626709, 'distractor_logit_delta': -3.4118638038635254, 'logit_diff_delta': 2.0318613052368164}]"
