score_mode,regression,term,coef,se,p,ci_low,ci_high,n
sum_logprob,main_controls,Intercept,0.7458521981603081,0.18495891329231084,5.51797821414239e-05,0.3833393894877122,1.108365006832904,7744
sum_logprob,main_controls,C(conflict_type)[T.arbitrary_semantic_remapping],3.368329777133261,0.2584871404050775,8.159882409894861e-39,2.861704291472561,3.874955262793961,7744
sum_logprob,main_controls,C(conflict_type)[T.domain_definition_remapping],2.0290111900944066,0.2995553012060905,1.2578091316651849e-11,1.4418935883524213,2.616128791836392,7744
sum_logprob,main_controls,C(conflict_type)[T.polysemy_entity_remapping],2.182015977133474,0.22808860085360969,1.1055616151314686e-21,1.7349705341762671,2.6290614200906806,7744
sum_logprob,main_controls,C(prompt_style)[T.game_rule],1.2153740117878316,0.14812984514726352,2.3099767138436143e-16,0.9250448502636998,1.5057031733119635,7744
sum_logprob,main_controls,C(prompt_style)[T.glossary],0.11935161153015533,0.0634775317449218,0.06007834391070292,-0.005062064517389359,0.24376528757770002,7744
sum_logprob,main_controls,C(prompt_style)[T.technical_document],-0.18279585063416176,0.060959905539985156,0.0027120155470627566,-0.3022750699934964,-0.06331663127482715,7744
sum_logprob,main_controls,C(family)[T.Mistral],0.14226619165632926,0.1244577739931892,0.25300204372486,-0.10166656296634738,0.38619894627900586,7744
sum_logprob,main_controls,C(family)[T.OLMo],-0.4333928793994182,0.1529973070364388,0.004615912814818724,-0.7332620909224548,-0.13352366787638154,7744
sum_logprob,main_controls,C(family)[T.Qwen],0.022579203932545866,0.1057564140150299,0.8309354438530542,-0.18469955867101975,0.22985796653611149,7744
sum_logprob,main_controls,lexical_advantage,0.1141255858820535,0.018302241668128823,4.500296769598056e-10,0.07825385137617272,0.14999732038793429,7744
sum_logprob,main_controls,answer_prior,0.15856735772146768,0.024370074352765482,7.684908280877315e-11,0.11080288968948407,0.2063318257534513,7744
sum_logprob,main_controls,target_minus_distractor_tokens,-0.07860021409617812,0.19693346408854512,0.6898043001942797,-0.46458271106043864,0.3073822828680824,7744
sum_logprob,main_controls,target_minus_distractor_zipf,0.6451004035665887,0.11177279345676032,7.855341377734748e-09,0.4260297539399043,0.8641710531932731,7744
sum_logprob,main_controls,is_instruct,-0.735191716097239,0.13393167531683614,4.035200086638851e-08,-0.99769297610735,-0.472690456087128,7744
sum_logprob,main_controls,log_params_b,-0.31731580897270506,0.06275301449777254,4.2683576580301086e-07,-0.4403094573096591,-0.19432216063575103,7744
sum_logprob,type_interactions,Intercept,0.7829372714445999,0.18434771273291906,2.1658624018166375e-05,0.4216223938557426,1.1442521490334572,7744
sum_logprob,type_interactions,C(conflict_type)[T.arbitrary_semantic_remapping],2.256762043116649,0.3188497582384037,1.4643695134978222e-12,1.6318280004900743,2.881696085743224,7744
sum_logprob,type_interactions,C(conflict_type)[T.domain_definition_remapping],1.3570037794372567,0.28734611332441945,2.3291620252334413e-06,0.7938157462238297,1.9201918126506836,7744
sum_logprob,type_interactions,C(conflict_type)[T.polysemy_entity_remapping],1.7015143816323761,0.239737028873866,1.2710734428468508e-12,1.2316384392789597,2.1713903239857926,7744
sum_logprob,type_interactions,C(prompt_style)[T.game_rule],1.2153740117878238,0.14815860543200174,2.340799851971442e-16,0.92498848114142,1.5057595424342276,7744
sum_logprob,type_interactions,C(prompt_style)[T.glossary],0.11935161153015902,0.0634898562828,0.06012808327688771,-0.00508622016775305,0.2437894432280711,7744
sum_logprob,type_interactions,C(prompt_style)[T.technical_document],-0.18279585063416287,0.060971741265859594,0.0027172008523760898,-0.30229826758994227,-0.06329343367838346,7744
sum_logprob,type_interactions,C(family)[T.Mistral],0.24750688261255127,0.12703673232048318,0.05137793153032552,-0.0014805374492512235,0.4964943026743538,7744
sum_logprob,type_interactions,C(family)[T.OLMo],-0.17156092089391262,0.1616250318737815,0.28847411604571027,-0.4883401623666626,0.14521832057883738,7744
