prompt_style,score_mode,n,mean,ci_low,ci_high,positive_fraction,t,p
definition_scope,sum_logprob,1936.0,1.9372217729120464,1.8233871653624527,2.0550205196133287,0.8026859504132231,32.97327303947851,1.3371523882586414e-189
definition_scope,mean_logprob,1936.0,1.8193459877434766,1.7115833325312955,1.9301064744130838,0.7918388429752066,32.387342396583925,3.0873606355457564e-184
game_rule,sum_logprob,1936.0,3.152595784699846,2.9214291462233906,3.380659421468272,0.78099173553719,27.826821845086762,1.2577201848071477e-143
game_rule,mean_logprob,1936.0,2.9916324426853915,2.762548625764633,3.208858837915625,0.7778925619834711,26.840040831135127,3.641381804566091e-135
glossary,sum_logprob,1936.0,2.056573384442196,1.9232850270658874,2.1914276054854467,0.8073347107438017,30.11352787149248,1.0341627003342865e-163
glossary,mean_logprob,1936.0,1.9678154406216821,1.8396436929348232,2.100096668839602,0.8052685950413223,29.413683164821535,1.6857955235941976e-157
technical_document,sum_logprob,1936.0,1.7544259222778709,1.6354792699321472,1.8770739552472775,0.797004132231405,27.855717673122236,7.076277547667534e-144
technical_document,mean_logprob,1936.0,1.6307060579353665,1.513358929674942,1.7497742563507295,0.7892561983471075,26.65829666918488,1.27283879344302e-133
