model_key,perm,matched_recovery,random_recovery
qwen25_15b_base,0,0.9949131364139101,-3.880404431227635
qwen25_15b_base,1,0.9949131364139101,-4.257704220402116
qwen25_15b_base,2,0.9949131364139101,-4.377293922582888
qwen25_15b_base,3,0.9949131364139101,-3.8639438666780226
qwen25_15b_base,4,0.9949131364139101,-4.1342796858999575
qwen25_15b_base,5,0.9949131364139101,-4.447139187307206
qwen25_15b_base,6,0.9949131364139101,-3.3509132287786194
qwen25_15b_base,7,0.9949131364139101,-3.6521319628725246
qwen25_15b_base,8,0.9949131364139101,-4.00537829163966
qwen25_15b_base,9,0.9949131364139101,-3.7712513016926446
qwen25_15b_base,10,0.9949131364139101,-3.6867961902081334
qwen25_15b_base,11,0.9949131364139101,-3.71028415126297
qwen25_15b_base,12,0.9949131364139101,-4.541011934864325
qwen25_15b_base,13,0.9949131364139101,-4.185381386607806
qwen25_15b_base,14,0.9949131364139101,-4.2172617371653045
qwen25_15b_base,15,0.9949131364139101,-4.43626669194531
qwen25_15b_base,16,0.9949131364139101,-4.3740409145989005
qwen25_15b_base,17,0.9949131364139101,-4.107226602250582
qwen25_15b_base,18,0.9949131364139101,-3.8230448722288752
qwen25_15b_base,19,0.9949131364139101,-3.574192208709317
qwen25_15b_base,20,0.9949131364139101,-4.473680398049604
qwen25_15b_base,21,0.9949131364139101,-3.7287694147089163
qwen25_15b_base,22,0.9949131364139101,-4.031582122203354
qwen25_15b_base,23,0.9949131364139101,-4.214665595581665
qwen25_15b_base,24,0.9949131364139101,-4.139559835772272
qwen25_15b_base,25,0.9949131364139101,-4.103399282236162
qwen25_15b_base,26,0.9949131364139101,-4.197339794042388
qwen25_15b_base,27,0.9949131364139101,-4.186475222416301
qwen25_15b_base,28,0.9949131364139101,-4.434513506241116
qwen25_15b_base,29,0.9949131364139101,-3.744854304221043
qwen25_15b_base,30,0.9949131364139101,-4.358185099287117
qwen25_15b_base,31,0.9949131364139101,-4.3051352936640095
qwen25_15b_base,32,0.9949131364139101,-4.904368767194102
qwen25_15b_base,33,0.9949131364139101,-4.340787760291204
qwen25_15b_base,34,0.9949131364139101,-4.624059691102806
qwen25_15b_base,35,0.9949131364139101,-4.064693885684756
qwen25_15b_base,36,0.9949131364139101,-4.277483623682435
qwen25_15b_base,37,0.9949131364139101,-4.724999340861148
qwen25_15b_base,38,0.9949131364139101,-4.052830175100364
qwen25_15b_base,39,0.9949131364139101,-3.8983156981429885
qwen25_15b_base,40,0.9949131364139101,-4.007534694664543
qwen25_15b_base,41,0.9949131364139101,-4.566439640088698
qwen25_15b_base,42,0.9949131364139101,-4.594052053789687
qwen25_15b_base,43,0.9949131364139101,-3.973752140154783
qwen25_15b_base,44,0.9949131364139101,-4.249411976517125
qwen25_15b_base,45,0.9949131364139101,-4.190290858277916
qwen25_15b_base,46,0.9949131364139101,-4.739040995861426
qwen25_15b_base,47,0.9949131364139101,-4.6258988931481175
qwen25_15b_base,48,0.9949131364139101,-4.076500354366008
qwen25_15b_base,49,0.9949131364139101,-3.8181828555716435
qwen25_15b_instruct,0,0.9177232024697646,-0.5858182300205904
qwen25_15b_instruct,1,0.9177232024697646,-0.5112047270460794
qwen25_15b_instruct,2,0.9177232024697646,-0.7315039571176702
qwen25_15b_instruct,3,0.9177232024697646,-0.5112969595599467
qwen25_15b_instruct,4,0.9177232024697646,-0.675116676112879
qwen25_15b_instruct,5,0.9177232024697646,-0.7541961849096191
qwen25_15b_instruct,6,0.9177232024697646,-0.4482743359137851
qwen25_15b_instruct,7,0.9177232024697646,-0.6486756825739673
qwen25_15b_instruct,8,0.9177232024697646,-0.5333733377298373
qwen25_15b_instruct,9,0.9177232024697646,-0.5808965544642892
qwen25_15b_instruct,10,0.9177232024697646,-0.5421407434214442
qwen25_15b_instruct,11,0.9177232024697646,-0.6013151465437557
qwen25_15b_instruct,12,0.9177232024697646,-0.7759777512965427
